id_hogar,renglon,pobreden,age_baseline,sex_baseline,yycali_97,state,village,cut,y_post,y_baseline,xbin,bin_midpt
643510,3,1,16,female,755,3,300580096,759.35999,1,1,10,-2.5
328896,4,1,12,male,718,3,300460032,759.35999,1,1,2,-42.5
224966,6,1,12,male,716,3,301830016,759.35999,1,1,2,-42.5
517800,5,1,7,male,740,3,300580064,759.35999,1,1,7,-17.5
118876,7,1,9,female,751,3,300240000,759.35999,1,1,9,-7.5
513180,3,1,16,male,742,3,300580096,759.35999,1,1,7,-17.5
649830,8,1,14,female,717,3,300580128,759.35999,0,1,2,-42.5
451643,7,1,7,female,735,3,301610080,759.35999,1,1,6,-22.5
401351,7,1,11,male,718,3,300580160,759.35999,1,1,2,-42.5
513250,4,1,14,female,758,3,300580096,759.35999,1,1,10,-2.5
644280,3,1,7,male,733,3,300790016,759.35999,1,1,5,-27.5
401825,4,1,14,male,753,3,300580128,759.35999,0,1,9,-7.5
623476,3,1,16,male,715,3,300660032,759.35999,1,1,2,-42.5
409793,3,no pobre,12,male,785,3,301550144,759.35999,1,1,16,27.5
642380,6,1,9,female,746.5,3,300580096,759.35999,1,1,8,-12.5
314712,4,1,7,male,733,3,300830016,759.35999,0,1,5,-27.5
637879,3,1,14,male,735,3,300660032,759.35999,0,0,6,-22.5
656582,8,1,15,male,717,3,300830144,759.35999,1,1,2,-42.5
118946,8,1,10,female,738,3,300240032,759.35999,1,1,6,-22.5
404931,5,1,11,male,748,3,300550016,759.35999,1,1,8,-12.5
314672,7,1,15,female,736.25,3,300830016,759.35999,0,1,6,-22.5
331554,5,1,10,male,742,3,300790016,759.35999,1,1,7,-17.5
451643,8,1,6,female,735,3,301610080,759.35999,1,1,6,-22.5
618630,6,1,9,female,753,3,300580000,759.35999,1,1,9,-7.5
400413,5,1,12,female,731.75,3,301550080,759.35999,1,1,5,-27.5
618290,6,1,12,female,743,3,300580128,759.35999,1,1,7,-17.5
643510,4,1,8,male,755,3,300580096,759.35999,1,1,10,-2.5
450168,7,1,13,male,730,3,301980032,759.35999,1,1,5,-27.5
314672,9,1,11,male,736.25,3,300830016,759.35999,1,1,6,-22.5
655222,4,1,13,male,715,3,300830016,759.35999,1,1,2,-42.5
618630,5,1,12,male,753,3,300580000,759.35999,1,1,9,-7.5
518250,3,1,8,male,723,3,300580096,759.35999,1,1,3,-37.5
424571,5,1,12,male,745.14001,3,300230176,759.35999,1,1,8,-12.5
407470,7,1,11,male,739,3,300580096,759.35999,1,1,6,-22.5
512910,3,1,16,male,712.5,3,300230016,759.35999,0,1,1,-47.5
411869,3,1,13,male,755,3,300580096,759.35999,1,1,10,-2.5
404127,6,no pobre,14,female,782.59998,3,300550016,759.35999,1,1,15,22.5
110534,5,1,8,female,747,3,300580096,759.35999,1,1,8,-12.5
634024,4,no pobre,11,female,782.5,3,300230016,759.35999,0,1,15,22.5
518600,3,1,14,male,733,3,300580000,759.35999,1,1,5,-27.5
623452,7,1,9,male,730.66998,3,300660032,759.35999,1,1,5,-27.5
450168,3,1,10,male,730,3,301980032,759.35999,1,1,5,-27.5
642430,7,1,10,female,747.5,3,300580096,759.35999,1,1,8,-12.5
401144,5,no pobre,15,male,788,3,301550016,759.35999,1,1,16,27.5
642240,3,1,14,male,725,3,300580096,759.35999,1,1,4,-32.5
516420,3,1,11,female,712,3,300580096,759.35999,1,1,1,-47.5
649180,5,1,7,female,742,3,300580128,759.35999,1,1,7,-17.5
618180,5,1,7,male,755,3,300580128,759.35999,1,1,10,-2.5
404469,4,no pobre,6,female,799,3,300560000,759.35999,1,1,18,37.5
315392,3,1,12,male,756,3,300830016,759.35999,1,1,10,-2.5
512910,7,1,6,male,712.5,3,300230016,759.35999,1,1,1,-47.5
637247,7,1,10,male,710,3,300660032,759.35999,1,1,1,-47.5
332708,7,1,13,female,751,3,300290016,759.35999,0,1,9,-7.5
637791,4,1,14,female,743.5,3,300660032,759.35999,0,0,7,-17.5
225503,5,1,8,female,718.33002,3,301830016,759.35999,1,1,2,-42.5
405017,7,1,8,male,732,3,300550016,759.35999,1,1,5,-27.5
225502,3,1,6,female,732,3,301830016,759.35999,1,1,5,-27.5
404956,6,1,8,male,748,3,300550016,759.35999,1,1,8,-12.5
618180,4,1,9,male,755,3,300580128,759.35999,1,1,10,-2.5
410305,5,1,9,male,713,3,300580064,759.35999,1,1,1,-47.5
112504,7,1,6,female,719,3,301100000,759.35999,1,1,2,-42.5
632289,6,1,7,female,742,3,302030016,759.35999,1,1,7,-17.5
642710,4,1,12,male,710,3,300240000,759.35999,1,1,1,-47.5
650165,3,1,13,male,745.83002,3,300270016,759.35999,1,1,8,-12.5
404925,6,1,14,male,712,3,300550016,759.35999,0,1,1,-47.5
225503,3,1,14,male,718.33002,3,301830016,759.35999,1,1,2,-42.5
230114,5,1,10,female,736,3,300140032,759.35999,1,1,6,-22.5
650165,4,1,7,female,745.83002,3,300270016,759.35999,1,1,8,-12.5
649430,6,1,11,female,713,3,300580128,759.35999,1,1,1,-47.5
655182,4,1,13,male,725,3,300830016,759.35999,1,1,4,-32.5
634024,3,no pobre,13,female,782.5,3,300230016,759.35999,0,0,15,22.5
651025,5,1,10,female,739.5,3,300270016,759.35999,0,0,7,-17.5
113968,5,1,13,female,741,3,300200032,759.35999,1,1,7,-17.5
644740,6,1,10,male,746,3,300580064,759.35999,1,1,8,-12.5
400682,4,1,12,male,710,3,300830112,759.35999,1,1,1,-47.5
404931,4,1,16,male,748,3,300550016,759.35999,1,1,8,-12.5
401824,4,1,16,male,739.5,3,300580128,759.35999,0,1,7,-17.5
404138,5,no pobre,13,female,797,3,300550016,759.35999,1,1,18,37.5
229965,4,1,14,male,757,3,300080032,759.35999,0,0,10,-2.5
643940,3,1,7,male,727,3,300790016,759.35999,1,1,4,-32.5
328937,5,no pobre,12,male,794,3,300460032,759.35999,1,1,17,32.5
450168,4,1,9,male,730,3,301980032,759.35999,1,1,5,-27.5
513250,5,1,8,male,758,3,300580096,759.35999,0,1,10,-2.5
656622,3,1,16,male,718,3,300830144,759.35999,0,0,2,-42.5
404924,5,1,11,male,722,3,300550016,759.35999,1,1,3,-37.5
409829,3,1,16,female,734,3,301550144,759.35999,1,1,5,-27.5
450737,4,1,15,male,715.33002,3,300230016,759.35999,0,0,2,-42.5
328919,3,1,7,male,740.91998,3,300460032,759.35999,1,1,7,-17.5
649830,9,1,12,male,717,3,300580128,759.35999,1,1,2,-42.5
113971,5,1,15,female,712,3,300200032,759.35999,1,1,1,-47.5
404127,7,no pobre,13,male,782.59998,3,300550016,759.35999,1,1,15,22.5
401825,5,1,12,female,753,3,300580128,759.35999,0,1,9,-7.5
643420,8,no pobre,11,female,783,3,300240000,759.35999,1,1,15,22.5
517470,5,1,13,male,731,3,300580064,759.35999,1,1,5,-27.5
644210,7,1,6,female,735,3,300580192,759.35999,1,1,6,-22.5
649430,5,1,13,female,713,3,300580128,759.35999,1,1,1,-47.5
156912,3,1,10,male,711,3,300830080,759.35999,1,1,1,-47.5
314012,7,1,6,male,747.5,3,300830048,759.35999,1,1,8,-12.5
657122,8,1,10,male,747,3,300830048,759.35999,1,1,8,-12.5
686401,3,1,12,female,755,3,300580128,759.35999,1,1,10,-2.5
423902,10,1,6,male,749.91998,3,300230176,759.35999,1,1,9,-7.5
411461,5,1,12,male,709.5,3,300580096,759.35999,1,1,1,-47.5
